Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160229_CH_Mcap_12.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-29 14:16:37 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD
F7,121-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F8,121-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,28.07921982,27.98800278,0.128999025,,,,FALSE,0.01,FALSE,3,20,,N,N
F8,121-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F9,25-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.08152771,28.98625565,0.134735048,,,,FALSE,0.01,TRUE,3,24,,N,N
F10,25-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.89098358,28.98625565,0.134735048,,,,FALSE,0.01,TRUE,3,25,,N,N
F11,25-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,30.12409019,30.19924164,0.106281541,,,,FALSE,0.01,FALSE,3,20,,N,N
F11,25-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
F12,25-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,30.27439499,30.19924164,0.106281541,,,,FALSE,0.01,FALSE,3,20,,N,N
F12,25-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
G1,58-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.59508705,29.60290337,0.011053938,,,,FALSE,0.01,TRUE,3,25,,N,N
G2,58-2.11.16,Mc,UNKNOWN,FAM,NFQ-MGB,29.61071968,29.60290337,0.011053938,,,,FALSE,0.01,TRUE,3,25,,N,N
G3,58-2.11.16,C,UNKNOWN,VIC,NFQ-MGB,33.89096069,33.91992188,0.040957294,,,,FALSE,0.01,FALSE,3,20,,N,N
G3,58-2.11.16,D,UNKNOWN,FAM,NFQ-MGB,30.45281601,30.5650177,0.158675805,,,,FALSE,0.01,FALSE,3,20,,N,N
