Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160224_CH_Mcap_6.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-24 12:43:42 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
F11,205-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F12,205-10.21.15,C,UNKNOWN,VIC,NFQ-MGB,31.02893639,31.06257057,0.047565922,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
F12,205-10.21.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G1,112-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.03338432,28.95505524,0.110772707,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
G2,112-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,28.87672806,28.95505524,0.110772707,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N
G3,112-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,32.57600403,32.68885803,0.159602359,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G3,112-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,30.03623581,29.95740318,0.111486167,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G4,112-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,32.80171585,32.68885803,0.159602359,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G4,112-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,29.87857056,29.95740318,0.111486167,,,,FALSE,0.01,FALSE,3,20,,N,N,N,N
G5,215-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.31660843,30.05699539,0.367146939,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N
G6,215-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,29.79738426,30.05699539,0.367146939,,,,FALSE,0.01,TRUE,3,26,,N,N,N,N
G7,215-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y,N
