Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Desktop\CH qPCR\20160222_CH_Mcap_3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-02-22 14:54:21 PM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,EXPFAIL
F1,238-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.97612762,26.59872818,0.533723414,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
F2,238-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,26.22132874,26.59872818,0.533723414,,,,FALSE,0.01,TRUE,3,23,,N,Y,N
F3,238-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,29.14583969,29.68670273,0.764895856,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
F3,238-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,29.04499054,29.6142025,0.804987252,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
F4,238-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,30.22756577,29.68670273,0.764895856,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
F4,238-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,30.18341446,29.6142025,0.804987252,,,,FALSE,0.01,FALSE,5,20,,N,Y,N
F5,121-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.3876667,27.59724426,0.296388775,,,,FALSE,0.01,TRUE,3,25,,N,N,N
F6,121-12.4.15,Mc,UNKNOWN,FAM,NFQ-MGB,27.80682373,27.59724426,0.296388775,,,,FALSE,0.01,TRUE,3,24,,N,N,N
F7,121-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.95877647,27.97309875,0.020253414,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F7,121-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F8,121-12.4.15,C,UNKNOWN,VIC,NFQ-MGB,27.98741913,27.97309875,0.020253414,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F8,121-12.4.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F9,211-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.41597176,30.57313919,0.222268313,,,,FALSE,0.01,TRUE,3,28,,N,N,N
F10,211-10.1.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.73030663,30.57313919,0.222268313,,,,FALSE,0.01,TRUE,3,28,,N,N,N
F11,211-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,29.01125336,29.20346451,0.271826267,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F11,211-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F12,211-10.1.15,C,UNKNOWN,VIC,NFQ-MGB,29.39567375,29.20346451,0.271826267,,,,FALSE,0.01,FALSE,5,20,,N,N,N
F12,211-10.1.15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G1,238-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,27.21244431,27.06591415,0.20722492,,,,FALSE,0.01,TRUE,3,24,,N,N,N
G2,238-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.919384,27.06591415,0.20722492,,,,FALSE,0.01,TRUE,3,23,,N,N,N
G3,238-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,29.97554398,29.8156929,0.226064906,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G3,238-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,30.54128838,30.30234528,0.337917924,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G4,238-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,29.65583992,29.8156929,0.226064906,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G4,238-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,30.06340027,30.30234528,0.337917924,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G5,121-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.76425934,26.76738739,0.004422384,,,,FALSE,0.01,TRUE,3,24,,N,N,N
G6,121-1.20.16,Mc,UNKNOWN,FAM,NFQ-MGB,26.77051353,26.76738739,0.004422384,,,,FALSE,0.01,TRUE,3,24,,N,N,N
G7,121-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.72125053,27.46849823,0.357447088,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G7,121-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G8,121-1.20.16,C,UNKNOWN,VIC,NFQ-MGB,27.21574402,27.46849823,0.357447088,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G8,121-1.20.16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,20,,N,N,N
G9,211-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,30.83715057,31.03349876,0.277678281,,,,FALSE,0.01,TRUE,3,28,,N,N,N
G10,211-10.21.15,Mc,UNKNOWN,FAM,NFQ-MGB,31.22984695,31.03349876,0.277678281,,,,FALSE,0.01,TRUE,3,27,,N,N,N
